timestamp,model,spec_type,n_match,n_max,n_min,workload,tok_s,completion_tokens,draft_n,draft_accepted
2026-08-26T21:54:43,Ornith-1.5-35B-A3B-APEX-MTP-Quality,ngram-mod,16,24,8,copy,274.7,904,2712,2396
2026-08-26T21:55:05,Ornith-1.5-35B-A3B-APEX-MTP-Quality,ngram-mod,16,24,8,agentic,253.5,1024,4438,3495
2026-08-26T21:55:27,Ornith-1.5-35B-A3B-APEX-MTP-Quality,ngram-mod,16,24,8,novel,202.1,668,648,511
2026-08-26T21:55:53,Ornith-1.5-35B-A3B-APEX-MTP-Quality,ngram-mod,48,24,8,copy,272,881,2424,2142
2026-08-26T21:56:13,Ornith-1.5-35B-A3B-APEX-MTP-Quality,ngram-mod,48,24,8,agentic,296,941,3768,3385
2026-08-26T21:56:47,Ornith-1.5-35B-A3B-APEX-MTP-Quality,ngram-mod,48,24,8,novel,184.4,1024,984,688
2026-08-26T21:57:08,Ornith-1.5-35B-A3B-APEX-MTP-Quality,ngram-mod,16,48,8,copy,355.9,421,2640,1974
2026-08-26T21:57:27,Ornith-1.5-35B-A3B-APEX-MTP-Quality,ngram-mod,16,48,8,agentic,301.9,880,5737,4015
2026-08-26T21:58:00,Ornith-1.5-35B-A3B-APEX-MTP-Quality,ngram-mod,16,48,8,novel,190.2,1024,2041,1176
2026-08-26T21:58:26,Ornith-1.5-35B-A3B-APEX-MTP-Quality,ngram-mod,16,24,8,copy,280.9,904,2712,2396
2026-08-26T21:58:48,Ornith-1.5-35B-A3B-APEX-MTP-Quality,ngram-mod,16,24,8,agentic,255,1024,4438,3495
2026-08-26T21:59:09,Ornith-1.5-35B-A3B-APEX-MTP-Quality,ngram-mod,16,24,8,novel,204.4,668,648,511
